step 0: train loss 4.4501, val loss 4.4402
iter 0: loss 4.4512, time 23218.37ms, mfu -100.00%
iter 1: loss 4.4586, time 193.77ms, mfu -100.00%
iter 2: loss 4.4106, time 227.62ms, mfu -100.00%
iter 3: loss 4.3093, time 223.17ms, mfu -100.00%
iter 4: loss 4.1749, time 224.77ms, mfu -100.00%
iter 5: loss 4.0060, time 229.57ms, mfu 106.93%
iter 6: loss 3.8646, time 227.52ms, mfu 107.02%
iter 7: loss 3.7330, time 223.94ms, mfu 107.28%
iter 8: loss 3.6284, time 226.15ms, mfu 107.41%
iter 9: loss 3.5642, time 226.11ms, mfu 107.52%
iter 10: loss 3.4521, time 228.33ms, mfu 107.52%
iter 11: loss 3.3839, time 225.89ms, mfu 107.64%
iter 12: loss 3.3621, time 223.11ms, mfu 107.88%
iter 13: loss 3.3024, time 225.45ms, mfu 107.98%
iter 14: loss 3.2316, time 227.13ms, mfu 107.99%
iter 15: loss 3.2398, time 228.63ms, mfu 107.92%
iter 16: loss 3.2527, time 224.53ms, mfu 108.07%
iter 17: loss 3.1907, time 225.46ms, mfu 108.15%
iter 18: loss 3.1223, time 226.59ms, mfu 108.16%
iter 19: loss 3.1215, time 227.03ms, mfu 108.16%
iter 20: loss 3.0954, time 226.42ms, mfu 108.19%
iter 21: loss 3.0672, time 224.98ms, mfu 108.28%
iter 22: loss 3.0120, time 225.22ms, mfu 108.35%
iter 23: loss 2.9906, time 226.02ms, mfu 108.38%
iter 24: loss 2.9684, time 228.48ms, mfu 108.28%
iter 25: loss 2.9428, time 226.96ms, mfu 108.27%
iter 26: loss 2.9020, time 226.41ms, mfu 108.28%
iter 27: loss 2.8840, time 225.20ms, mfu 108.36%
iter 28: loss 2.8529, time 229.16ms, mfu 108.23%
iter 29: loss 2.7887, time 226.87ms, mfu 108.23%
iter 30: loss 2.7885, time 226.87ms, mfu 108.23%
iter 31: loss 2.7550, time 223.73ms, mfu 108.38%
iter 32: loss 2.7568, time 227.87ms, mfu 108.31%
iter 33: loss 2.7279, time 226.32ms, mfu 108.33%
iter 34: loss 2.7376, time 226.69ms, mfu 108.32%
iter 35: loss 2.6995, time 228.15ms, mfu 108.25%
iter 36: loss 2.7231, time 224.59ms, mfu 108.35%
iter 37: loss 2.6666, time 226.59ms, mfu 108.35%
iter 38: loss 2.6462, time 227.95ms, mfu 108.28%
iter 39: loss 2.6170, time 230.48ms, mfu 108.11%
iter 40: loss 2.6206, time 226.88ms, mfu 108.12%
iter 41: loss 2.6098, time 225.96ms, mfu 108.17%
iter 42: loss 2.5870, time 226.07ms, mfu 108.21%
iter 43: loss 2.6253, time 228.31ms, mfu 108.14%
iter 44: loss 2.6032, time 225.31ms, mfu 108.22%
iter 45: loss 2.5685, time 226.76ms, mfu 108.22%
iter 46: loss 2.5540, time 226.44ms, mfu 108.24%
iter 47: loss 2.5593, time 227.50ms, mfu 108.21%
iter 48: loss 2.5939, time 225.66ms, mfu 108.27%
iter 49: loss 2.5542, time 226.86ms, mfu 108.26%
iter 50: loss 2.5726, time 226.69ms, mfu 108.26%
iter 51: loss 2.5373, time 227.09ms, mfu 108.24%
iter 52: loss 2.5473, time 225.29ms, mfu 108.32%
