step 0: train loss 10.9886, val loss 10.9897
iter 0: loss 10.9766, time 22640.22ms, mfu -100.00%
iter 1: loss 10.9733, time 263.56ms, mfu -100.00%
iter 2: loss 10.9575, time 306.32ms, mfu -100.00%
iter 3: loss 10.9389, time 306.15ms, mfu -100.00%
iter 4: loss 10.8776, time 313.22ms, mfu -100.00%
iter 5: loss 10.8199, time 310.56ms, mfu 108.40%
iter 6: loss 10.7354, time 306.04ms, mfu 108.56%
iter 7: loss 10.6459, time 309.22ms, mfu 108.59%
iter 8: loss 10.5667, time 311.69ms, mfu 108.53%
iter 9: loss 10.4959, time 309.04ms, mfu 108.57%
iter 10: loss 10.3687, time 308.38ms, mfu 108.63%
iter 11: loss 10.3112, time 311.07ms, mfu 108.59%
iter 12: loss 10.2319, time 309.82ms, mfu 108.60%
iter 13: loss 10.2187, time 307.14ms, mfu 108.70%
iter 14: loss 10.1517, time 309.69ms, mfu 108.70%
iter 15: loss 9.9864, time 306.71ms, mfu 108.81%
iter 16: loss 9.9713, time 312.82ms, mfu 108.69%
iter 17: loss 9.8478, time 306.30ms, mfu 108.81%
iter 18: loss 9.8396, time 309.29ms, mfu 108.81%
iter 19: loss 9.8646, time 311.18ms, mfu 108.75%
iter 20: loss 9.7984, time 307.79ms, mfu 108.81%
iter 21: loss 9.7742, time 311.68ms, mfu 108.73%
iter 22: loss 9.8142, time 309.11ms, mfu 108.75%
iter 23: loss 9.6570, time 308.70ms, mfu 108.78%
iter 24: loss 9.6154, time 310.53ms, mfu 108.74%
iter 25: loss 9.5716, time 309.45ms, mfu 108.75%
iter 26: loss 9.6215, time 306.08ms, mfu 108.87%
iter 27: loss 9.5278, time 309.27ms, mfu 108.87%
iter 28: loss 9.4790, time 310.03ms, mfu 108.84%
iter 29: loss 9.6442, time 308.37ms, mfu 108.87%
iter 30: loss 9.5011, time 308.35ms, mfu 108.90%
iter 31: loss 9.4545, time 310.58ms, mfu 108.85%
iter 32: loss 9.4681, time 310.20ms, mfu 108.82%
iter 33: loss 9.3259, time 309.24ms, mfu 108.82%
iter 34: loss 9.3615, time 309.01ms, mfu 108.84%
iter 35: loss 9.4113, time 309.69ms, mfu 108.82%
iter 36: loss 9.3688, time 310.10ms, mfu 108.80%
iter 37: loss 9.3085, time 309.81ms, mfu 108.78%
iter 38: loss 9.4036, time 312.27ms, mfu 108.69%
iter 39: loss 9.2134, time 308.49ms, mfu 108.73%
iter 40: loss 9.2594, time 309.68ms, mfu 108.73%
iter 41: loss 9.2860, time 310.54ms, mfu 108.70%
iter 42: loss 9.2553, time 309.62ms, mfu 108.70%
iter 43: loss 9.3667, time 309.03ms, mfu 108.72%
iter 44: loss 9.2074, time 310.31ms, mfu 108.70%
iter 45: loss 9.1564, time 309.56ms, mfu 108.70%
iter 46: loss 9.0841, time 310.01ms, mfu 108.69%
iter 47: loss 9.1202, time 310.35ms, mfu 108.67%
iter 48: loss 9.0592, time 308.85ms, mfu 108.70%
iter 49: loss 9.0434, time 307.07ms, mfu 108.80%
iter 50: loss 9.1280, time 309.33ms, mfu 108.80%
iter 51: loss 8.9766, time 310.92ms, mfu 108.75%
iter 52: loss 9.0474, time 309.50ms, mfu 108.75%
iter 53: loss 9.0044, time 308.19ms, mfu 108.80%
iter 54: loss 8.8669, time 310.16ms, mfu 108.77%
iter 55: loss 9.0466, time 310.37ms, mfu 108.74%
iter 56: loss 8.8078, time 308.63ms, mfu 108.78%
iter 57: loss 9.0263, time 310.21ms, mfu 108.75%
iter 58: loss 8.8300, time 310.59ms, mfu 108.71%
iter 59: loss 8.7193, time 309.43ms, mfu 108.72%
